Cerises au chocolat,Préparation : 15 min Cuisson : 0 min Ingrédients (pour 10 cerises) : - 10 grosses cerises - 40 g de chocolat noir - 50 g de sucre en poudre - 20 cl de rhum ambré Préparation : Lavez les cerises en prenant soin de ne pas détacher les queues. Piquez-les à plusieurs reprises avec une aiguille ou un cur [...]
Canard aux cerises,"Préparation : 30 min Cuisson : 45 min Ingrédients (pour 4 personnes) : - 1 jeune canard - 1 fine tranche de lard fumé - 1 kg de cerises - 30 g de beurre - 1 citron - 1 verre à liqueur de cognac - 1 bouquet garni - sel, poivre Préparation : Saler et poivrer l'intérieur du canard. Y ajouter le bouquet [...]"
Cailles aux cerises,Préparation : 30 min Cuisson : 45 min Ingrédients (pour 6 personnes) : - 6 cailles - 2 citrons non traités - 1 bouteille de cidre - 1 bocal de cerises au sirop - 1 oignon - sel et poivre - beurre Préparation : Farcir les cailles avec 1 quartier de citron et zester le reste. Faire dorer les cailles d [...]
Crumble aux cerises,Préparation : 15 min Cuisson : 30 min Ingrédients (pour 4 personnes) : - 350 g de cerises dénoyautées - 50 g de cassonade ou sucre brun - 50 g de sucre semoule - 100 g de farine sans grumeaux - 100 g de beurre froid Préparation : Répartissez les cerises dans un moule à tarte beurré. Mélangez la cass [...]
Cerises au riz,Préparation : 45 min Cuisson : 30 min Ingrédients (pour 5 personnes) : - 180 g de riz - 50 cl de lait - 125 g de sucre - 2 cuillères de crème fouettée - 500 g de cerises - 100 g de sucre Préparation : Lavez le riz sans le faire tremper. Jetez le dans un litre d'eau bouillante et laissez bouillir 2 m [...]
Gâteau aux cerises,"Préparation : 10 min Cuisson : 30 min Ingrédients (pour 1 gâteau) : - 800 g cerises - 4 oeufs - 100 g beurre - 100 g sucre + un paquet de vanillé - 100 g poudre d'amande - 70 g farine + un demi paquet de levure - amandes effilées Préparation : Mélanger le beurre fondu avec les sucres, les oeufs enti [...]"
Confiture à la cerise,"Préparation : 40 min Cuisson : 7 min Ingrédients (pour 4 pots) : - 1 kg de Gélisuc - 1,2 kg de cerises Préparation : Commencer par plonger dans de l'eau bouillante les pots de confiture afin de les stériliser. Les placer retournés sur une serviette propre pour les égoutter. Puis, laver, équeuter et  [...]"
Soupe aux cerises,"Préparation : 20 min Cuisson : 20 min Ingrédients (pour 4 personnes) : - 1 kg de cerises - 1l de vin rosé doux ou de vin rouge - 1/2 verre d'eau - 1/2 bâton de cannelle - 3 clous de girofle - 1 graine de cardamome - 1/2 citron - 2 cuillerées à soupe (rases) de farine - sucre (à volonté, selon votre  [...]"
Bouchées aux cerises,Préparation : 20 min Cuisson : 5 min Ingrédients (pour 20 bouchées) : - 280 g de chocolat noir - 20 cerises à l'eau-de-vie - 40 g de beurre - 20 caissettes en papier Préparation : Casser 200g de chocolat noir en petits morceaux dans une casserole. Le faire fondre au bain-marie. Déposer une petite cu [...]
Clafoutis aux cerises,Préparation : 40 min Cuisson : 40 min Ingrédients (pour 6 personnes) : - 375 g de cerises - 60 g de farine - 50 g de sucre semoule - 3 œufs - 12 cl de lait - 1 petite pincée de sel - 3 cl liqueur de kirsch - sucre glace pour la décoration Préparation : Beurrer et fariner légèrement un moule à manqué [...]
